id,code,name,user_type_id:id,reconcile,chart_template_id:id
4200-02,4200-02,กำไร(ขาดทุน)จากการจำหน่ายทรัพย์สิน,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
4200-03,4200-03,ส่วนลดเงินสดรับ,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
4200-04,4200-04,กำไรจากอัตราแลกเปลี่ยน,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
4200-05,4200-05,รายได้จากการขายเศษวัสดุ,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
4200-06,4200-06,รายได้ให้เช่าที่จอดรถ,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
4200-07,4200-07,รายได้บริการให้คำปรึกษา,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
4200-08,4200-08,รายได้จากการส่งเสริมการขาย,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
4200-09,4200-09,รายได้ค่าพาหนะไปอบรม,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
4200-10,4200-10,รายได้เบ็ดเตล็ด,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
4200-11,4200-11,รายได้ค่าสินไหมทดแทน,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
5110-01,5110-01,ต้นทุนการขายสินค้า-วัตถุดิบและอุปกรณ์,account.data_account_type_direct_costs,TRUE,l10n_th_thaiodoo_c1.chart
5110-02,5110-02,ต้นทุนการให้บริการ-วัตถุดิบและอุปกรณ์,account.data_account_type_direct_costs,TRUE,l10n_th_thaiodoo_c1.chart
5130-01,5130-01,ซื้อ,account.data_account_type_direct_costs,TRUE,l10n_th_thaiodoo_c1.chart
5130-02,5130-02,ส่วนลดรับ,account.data_account_type_direct_costs,TRUE,l10n_th_thaiodoo_c1.chart
5130-03,5130-03,ส่งคืนสินค้า,account.data_account_type_direct_costs,TRUE,l10n_th_thaiodoo_c1.chart
5140-01,5140-01,ค่าใช้จ่ายในการนำเข้า,account.data_account_type_direct_costs,TRUE,l10n_th_thaiodoo_c1.chart
5150-01,5150-01,เงินเดือน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-02,5150-02,ค่าจ้างแรงงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-03,5150-03,ค่าล่วงเวลา,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-04,5150-04,ค่าเบี้ยเลี้ยง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-05,5150-05,โบนัส,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-06,5150-06,เงินเพิ่มพิเศษ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-07,5150-07,ค่าที่พักอาศัย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
